CustomerID,Gender,Age,Annual_Income_LPA,Spending_Score
1,Male,19,4.5,39
2,Male,21,4.5,81
3,Female,20,4.8,6
4,Female,23,4.8,77
5,Female,31,5.1,40
6,Female,22,5.1,76
7,Female,35,5.4,6
8,Female,23,5.4,94
9,Male,64,5.7,3
10,Female,30,5.7,72
11,Male,67,5.7,14
12,Female,35,5.7,99
13,Female,58,6.0,15
14,Female,24,6.0,77
15,Male,37,6.0,13
16,Male,22,6.0,79
17,Female,35,6.3,35
18,Male,20,6.3,66
19,Male,52,6.9,29
20,Female,35,6.9,98
21,Male,35,7.2,35
22,Male,25,7.2,73
23,Female,46,7.5,5
24,Male,31,7.5,73
25,Female,54,8.4,14
26,Male,29,8.4,82
27,Female,45,8.7,32
28,Male,35,8.7,61
29,Female,40,9.0,31
30,Female,23,9.0,87
31,Male,60,9.0,4
32,Female,41,9.0,73
33,Male,53,10.2,41
34,Male,18,10.2,92
35,Female,49,10.5,14
36,Female,21,10.5,81
37,Female,42,11.1,17
38,Female,30,11.1,73
39,Female,36,11.4,26
40,Female,20,11.4,75
41,Female,65,11.4,35
42,Male,24,11.4,92
43,Male,48,11.7,36
44,Female,31,11.7,61
45,Female,49,11.7,28
46,Female,24,11.7,65
47,Female,50,12.0,55
48,Female,27,12.0,47
49,Female,29,12.0,42
50,Female,31,12.0,42
